Index,Tile Size,Loop Order,User Time (s),System Time (s),Real Time (s)
1,8,i_tij_tjk_tk,0.292109,0.136051,0.4286670684814453
2,16,i_tij_tjk_tk,0.43164199999999997,0.13419899999999998,0.5660955905914307
3,32,i_tij_tjk_tk,0.43535199999999996,0.132107,0.5676414966583252
4,64,i_tij_tjk_tk,0.298091,0.13104,0.42941784858703613
5,128,i_tij_tjk_tk,0.312672,0.136856,0.4497497081756592
6,256,i_tij_tjk_tk,0.351045,0.136017,0.4872596263885498
7,8,i_tij_tk_tjk,0.139309,0.12828499999999998,0.2679016590118408
8,16,i_tij_tk_tjk,0.242867,0.133926,0.3769981861114502
9,32,i_tij_tk_tjk,0.309508,0.13422,0.443925142288208
10,64,i_tij_tk_tjk,0.388968,0.130989,0.5201420783996582
11,128,i_tij_tk_tjk,0.30374,0.129888,0.4338204860687256
12,256,i_tij_tk_tjk,0.356313,0.128751,0.48543739318847656
13,8,i_tij_tk_tkj,0.170899,0.13392099999999998,0.30504393577575684
14,16,i_tij_tk_tkj,0.290049,0.134022,0.4242978096008301
15,32,i_tij_tk_tkj,0.350238,0.13008799999999998,0.4807322025299072
16,64,i_tij_tk_tkj,0.42658399999999996,0.131179,0.5579612255096436
17,128,i_tij_tk_tkj,0.462478,0.129133,0.5917916297912598
18,256,i_tij_tk_tkj,0.52557,0.13314399999999998,0.658876895904541
19,8,i_tik_tj_tjk,0.19311799999999998,0.129078,0.32238030433654785
20,16,i_tik_tj_tjk,0.316093,0.12903799999999999,0.4453444480895996
21,32,i_tik_tj_tjk,0.331273,0.140115,0.4716629981994629
22,64,i_tik_tj_tjk,0.40965599999999996,0.13089,0.5407612323760986
23,128,i_tik_tj_tjk,0.42092799999999997,0.13397699999999998,0.5550796985626221
24,256,i_tik_tj_tjk,0.34596499999999997,0.144985,0.49115896224975586
25,8,i_tik_tj_tkj,0.24051,0.127739,0.3684401512145996
26,16,i_tik_tj_tkj,0.333798,0.13991499999999998,0.47396326065063477
27,32,i_tik_tj_tkj,0.413106,0.138035,0.5513598918914795
28,64,i_tik_tj_tkj,0.45264099999999996,0.124176,0.5771887302398682
29,128,i_tik_tj_tkj,0.47541,0.13183599999999998,0.6076478958129883
30,256,i_tik_tj_tkj,0.5225219999999999,0.142869,0.6655938625335693
31,8,i_tik_tkj_tj,0.852835,0.127975,0.981010913848877
32,16,i_tik_tkj_tj,0.8530749999999999,0.130011,0.9832477569580078
